location,month,day_of_week,hour,crash_risk_count,fatal_crashes,serious_crashes,crash_risk_level
Albury,11,Saturday,14,4,0,1,low
Albury,11,Saturday,16,6,0,0,medium
Albury,11,Saturday,20,4,0,0,low
Albury,11,Saturday,22,2,0,0,low
Albury,11,Sunday,0,2,0,0,low
Albury,11,Sunday,6,1,0,0,low
Albury,11,Sunday,10,4,0,1,low
Albury,11,Sunday,12,1,0,0,low
Albury,11,Sunday,14,2,1,1,low
Albury,11,Sunday,16,1,0,0,low
Albury,11,Sunday,20,2,0,0,low
Albury,11,Sunday,22,1,0,0,low
Albury,11,Thursday,2,1,0,0,low
Albury,11,Thursday,4,3,0,1,low
Albury,11,Thursday,6,1,0,0,low
Albury,11,Thursday,8,2,0,0,low
Albury,11,Thursday,10,3,0,0,low
Albury,11,Thursday,12,1,0,0,low
Albury,11,Thursday,16,1,0,0,low
Albury,11,Thursday,18,3,0,0,low
Albury,11,Thursday,22,1,0,0,low
Albury,11,Tuesday,6,3,0,0,low
Albury,11,Tuesday,8,1,0,0,low
Albury,11,Tuesday,12,1,0,0,low
Albury,11,Tuesday,14,3,0,0,low
Albury,11,Tuesday,16,2,0,0,low
Albury,11,Tuesday,18,1,0,0,low
Albury,11,Tuesday,22,2,0,0,low
Albury,11,Wednesday,0,3,0,0,low
Albury,11,Wednesday,2,1,0,1,low
Albury,11,Wednesday,6,1,0,0,low
Albury,11,Wednesday,8,2,0,1,low
Albury,11,Wednesday,14,1,0,0,low
Albury,11,Wednesday,16,4,0,0,low
Albury,11,Wednesday,18,3,0,0,low
Albury,11,Wednesday,20,2,0,0,low
Albury,11,Wednesday,22,1,0,0,low
Albury,12,Friday,0,2,1,0,low
Albury,12,Friday,4,1,0,0,low
Albury,12,Friday,6,1,0,1,low
Albury,12,Friday,8,2,0,1,low
Albury,12,Friday,10,2,0,0,low
Albury,12,Friday,12,1,0,0,low
Albury,12,Friday,14,1,0,1,low
Albury,12,Friday,16,1,0,0,low
Albury,12,Friday,18,3,0,1,low
Albury,12,Friday,20,1,0,0,low
Albury,12,Friday,22,4,1,1,low
Albury,12,Monday,6,1,0,0,low
Albury,12,Monday,8,1,0,0,low
Albury,12,Monday,10,1,0,0,low
Albury,12,Monday,12,3,0,0,low
Albury,12,Monday,16,1,0,0,low
Albury,12,Monday,18,2,0,0,low
Albury,12,Monday,20,1,0,0,low
